"Old","Form","Habitname","ESIS.Group","order","Simple"
"t","T","Tree","Tree",1,"Evergreen"
NA,"S","Shrub/Subshrub","Shrub/Subshrub",2,"Evergreen"
"v","L","Liana","Vine/Liana",3,"Evergreen"
NA,"H","Herb","Forb/Herb",4,"Forb"
NA,"HF","Forb","Forb/Herb",5,"Forb"
NA,"HG","Graminoid","Grass/grass-like (Graminoids)",6,"Graminoid"
"e","E","Epiphyte","Vine/Liana",7,"Evergreen"
NA,"N","Nonvascular","Nonvascular",8,"Nonvascular"
"M","NB","Bryophyte","Nonvascular",9,"Nonvascular"
"L","NL","Lichen","Biological Crusts",10,"Nonvascular"
"A",NA,"Algae","Biological Crusts",11,"Nonvascular"
"Dt","TBD","broadleaf deciduous tree","Tree",12,"Deciduous"
"Dt2","TBD2","tall broadleaf deciduous tree","Tree",13,"Deciduous"
"Dt1","TBD1","short broadleaf deciduous tree","Tree",14,"Deciduous"
"Ds","SBD2","broadleaf deciduous shrub","Shrub/Subshrub",15,"Deciduous"
"Du","SBD1","broadleaf deciduous subshrub","Shrub/Subshrub",16,"Deciduous"
"Dv","LBD","broadleaf deciduous vine","Vine/Liana",17,"Deciduous"
"Et","TNE","needleleaf evergreen tree","Tree",18,"Evergreen"
"Et2","TNE2","tall needleleaf evergreen tree","Tree",19,"Evergreen"
"Et1","TNE1","short needleleaf evergreen tree","Tree",20,"Evergreen"
"Es","SNE2","needleleaf evergreen shrub","Shrub/Subshrub",21,"Evergreen"
"Eu","SNE1","needleleaf evergreen subshrub","Shrub/Subshrub",22,"Evergreen"
"Ev","LNE","needleleaf evergreen vine","Vine/Liana",23,"Evergreen"
"Bt","TBE","broadleaf evergreen tree","Tree",24,"Evergreen"
"Bt1","TBE1","small broadleaf evergreen tree","Tree",25,"Evergreen"
"Bt2","TBE2","tall broadleaf evergreen tree","Tree",26,"Evergreen"
"Bs","SBE2","broadleaf evergreen shrub","Shrub/Subshrub",27,"Evergreen"
"Bu","SBE1","broadleaf evergreen subshrub","Shrub/Subshrub",28,"Evergreen"
"Bv","LBE","broadleaf evergreen vine","Vine/Liana",29,"Evergreen"
"Nt","TND","needleleaf deciduous tree","Tree",30,"Deciduous"
