"Site_Type","Project_ID","Observation_ID","Observer_Code","Observation_Serial","Observation_Description","Observation_Label","Observation_Type","Latitude","Longitude","Error","Date","Prefix","Year","Mon","Day","Nation","State","County","Island","FIPS","Elevation","Community_Name","Community_Description","Structure","Landscape","HillslopePosition","Position","Aspect","Slope","PlotBearing","Map.Unit","Soil.Series","Soil.Taxon","Drainage.Class","Restriction_Depth","WT_Depth","MinWT_Depth","Soil_Notes","Litter_Cover","Snag_Count","Plot_Area_m","BA_Count","BA_Factor","Cowardin","HGM","Stratum1","Stratum2","Stratum3","Stratum4","Stratum5","Stratum6","Stratum7","Stratum8","Stratum9","Stratum10","Tree_Cover","Shrub_Cover","Herb_Cover","Moss_Cover","Aggregated_Overstory","Aggregated_Understory","Estimated_Understory","DWD_Hits1","DWD_Hits2","DWD_Hits3","DWD_Hits4","DWD_Hits5","Transect_Length","Log_Cover","Rock_Cover","Lichen_Cover","Water_Cover","MaxWater_Cover","DBH_lower","DBH_upper","Canopy_lower","Canopy_upper","User_Pedon_ID","User_Plot_ID"
"",NA,"0","GRR.GJS",0,"","Sevier County, Tennessee 1715m #0","General",35.64797236,-83.44136651,10,0,"",0,0,0,"USA","Tennessee","Sevier County","",47155,1715,"","","","","","",0,0,NA,"","","","",500,500,NA,"",NA,NA,NA,NA,NA,"","",0.1,0.5,0.5,2,5,5,10,20,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,"1","GRR.GJS",0,"","Swain County, North Carolina 1807m #1","General",35.55721575,-83.50004005,10,0,"",0,0,0,"USA","North Carolina","Swain County","",37173,1807,"","","","","","",0,0,NA,"","","","",500,500,NA,"",NA,NA,NA,NA,NA,"","",0.1,0.5,0.5,2,5,5,10,20,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,"10","GRR.GJS",0,"","Humboldt County, California 169m #10","General",41.32874713,-123.9961018,10,0,"",0,0,0,"USA","California","Humboldt County","",NA,169,"","","","","","",0,0,NA,"","","","",500,500,NA,"",NA,NA,NA,NA,NA,"","",0.1,0.5,0.5,2,5,5,10,20,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,"100","GRR.GJS",0,"","Garrard County, Kentucky 289m #100","General",37.63041137,-84.55162054,10,0,"",0,0,0,"USA","Kentucky","Garrard County","",21079,289,"","","","","","",0,0,NA,"","","","",500,500,NA,"",NA,NA,NA,NA,NA,"","",0.1,0.5,0.5,2,5,5,10,20,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,"101","GRR.GJS",0,"","Iosco County, Michigan 187m #101","General",44.48712569,-83.33244421,10,0,"",0,0,0,"USA","Michigan","Iosco County","",NA,186,"","","","","","",0,0,NA,"","","","",500,500,NA,"",NA,NA,NA,NA,NA,"","",0.1,0.5,0.5,2,5,5,10,20,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,"102","GRR.GJS",0,"","Charlevoix County, Michigan 238m #102","General",45.62926697,-85.55634795,10,0,"",0,0,0,"USA","Michigan","Charlevoix County","Beaver I.",26029,232.8690033,"","","","","","",0,0,NA,"","","","",500,500,NA,"",NA,NA,NA,NA,NA,"","",0.1,0.5,0.5,2,5,5,10,20,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,"103","GRR.GJS",0,"","Keweenaw County, Michigan 439m #103","General",47.36175253,-88.20615538,10,0,"",0,0,0,"USA","Michigan","Keweenaw County","Keweenaw Pen.",26083,439,"","","","","","",0,0,NA,"","","","",500,500,NA,"",NA,NA,NA,NA,NA,"","",0.1,0.5,0.5,2,5,5,10,20,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,"11","GRR.GJS",0,"","Carter County, Missouri 282m #11","General",36.88728488,-91.15716044,10,0,"",0,0,0,"USA","Missouri","Carter County","",NA,282,"","","","","","",0,0,NA,"","","","",500,500,NA,"",NA,NA,NA,NA,NA,"","",0.1,0.5,0.5,2,5,5,10,20,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,"12","GRR.GJS",0,"","Morgan County, Tennessee 997m #12","General",36.14876958,-84.45655859,10,0,"",0,0,0,"USA","Tennessee","Morgan County","",NA,997,"","","","","","",0,0,NA,"","","","",500,500,NA,"",NA,NA,NA,NA,NA,"","",0.1,0.5,0.5,2,5,5,10,20,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,"13","GRR.GJS",0,"","Knox County, Tennessee 324m #13","General",36.01199816,-83.93645601,10,0,"",0,0,0,"USA","Tennessee","Knox County","",47093,324,"","","","","","",0,0,NA,"","","","",500,500,NA,"",NA,NA,NA,NA,NA,"","",0.1,0.5,0.5,2,5,5,10,20,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
