"Habit","Observation_ID","Observation_Label","PlotPlant_ID","AcTaxon","Genus","specific_epithet","subsp","var","Module","Submodule","Field","f1","f2","f3","Shrub","s1","s2","s3","Subcanopy","scf","scs1","scs2","scs3","sct1","sct2","sct3","Tree","tf","ts1","ts2","ts3","t1","t2","t3","t4","diam10cmCount","hourstamp","Transect_Position","BA","Biomass","Fmin","Fmax","Smin","Smax","SCmin","SCmax","Tmin","Tmax","Original_Field","Original_Shrub","Original_Subcanopy","Original_Tree","Dmin","Dmax","Hmin","Hmax","Simple"
"HA","GRR.GJS.2012.23","S12053101","GRR.GJS.2012.23.AllAll.Lemna...","Lemna","Lemna",NA,NA,NA,"All","All",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012101212,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HA1","GRR.GJS.2020.16","s20200710.02","GRR.GJS.2020.16.AllAll.Utricularia.intermedia..","Utricularia intermedia","Utricularia","intermedia",NA,NA,"All","All",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2020071410.36,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,0,"Forb"
"HA2","GRR.GJS.2015.20","DSP RF1","GRR.GJS.2015.20.SWAll.Lemna.minor..","Lemna minor","Lemna","minor",NA,NA,"SW","All",0.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082613.02,0,NA,0,0,0.1,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,"Forb"
"HA2","GRR.GJS.2015.21","DSP RF3","GRR.GJS.2015.21.SWAll.Lemna.minor..","Lemna minor","Lemna","minor",NA,NA,"SW","All",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015090310.37,0,NA,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HA2","GRR.GJS.2020.13","s20200611.01","GRR.GJS.2020.13.AllAll.Lemna.turionifera..","Lemna turionifera","Lemna","turionifera",NA,NA,"All","All",1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2020063011.49,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,0,"Forb"
"HA2","GRR.GJS.2012.34","S12062501","GRR.GJS.2012.34.AllAll.Proserpinaca.palustris..","Proserpinaca palustris","Proserpinaca","palustris",NA,NA,"All","All",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012102415,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HA2","GRR.GJS.2019.17","s20190905.04","GRR.GJS.2019.17.AllAll.Lemna.turionifera..","Lemna turionifera","Lemna","turionifera",NA,NA,"All","All",2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2019101115.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,NA,"Forb"
"HA2","GRR.GJS.2015.21","DSP RF3","GRR.GJS.2015.21.NWAll.Lemna.turionifera..","Lemna turionifera","Lemna","turionifera",NA,NA,"NW","All",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015090311.28,0,NA,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HA2","GRR.GJS.2012.34","S12062501","GRR.GJS.2012.34.AllAll.Nuphar.advena..","Nuphar advena","Nuphar","advena",NA,NA,"All","All",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012102415,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HA2","GRR.GJS.2015.21","DSP RF3","GRR.GJS.2015.21.SEAll.Lemna.minor..","Lemna minor","Lemna","minor",NA,NA,"SE","All",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015090215.05,0,NA,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
